ticker,date,open,high,low,close,adj_close,volume,synthetic_warning,synthetic_pattern
QF01,2021-01-04,39.558918,39.651385,39.368753,39.460990,39.460990,810928,SYNTHETIC ENGINEERING DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL - NOT VALIDATION EVIDENCE,positive_momentum
QF02,2021-01-04,43.996627,44.122643,43.699562,43.825086,43.825086,854820,SYNTHETIC ENGINEERING DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL - NOT VALIDATION EVIDENCE,positive_momentum
QF03,2021-01-04,48.438047,48.578265,48.293019,48.433223,48.433223,880465,SYNTHETIC ENGINEERING DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL - NOT VALIDATION EVIDENCE,positive_momentum
QF04,2021-01-04,53.070343,53.218258,52.680268,52.827506,52.827506,888563,SYNTHETIC ENGINEERING DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL - NOT VALIDATION EVIDENCE,positive_momentum
QF05,2021-01-04,57.472316,57.847655,57.317725,57.692472,57.692472,1179434,SYNTHETIC ENGINEERING DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL - NOT VALIDATION EVIDENCE,positive_momentum
QF06,2021-01-04,62.025230,62.190130,61.796275,61.961004,61.961004,1030295,SYNTHETIC ENGINEERING DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL - NOT VALIDATION EVIDENCE,flat_to_negative_momentum
QF07,2021-01-04,66.515209,66.822644,65.655659,65.960530,65.960530,1231432,SYNTHETIC ENGINEERING DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL - NOT VALIDATION EVIDENCE,flat_to_negative_momentum
QF08,2021-01-04,70.926986,71.445402,70.715099,71.232602,71.232602,1346230,SYNTHETIC ENGINEERING DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL - NOT VALIDATION EVIDENCE,flat_to_negative_momentum
QF09,2021-01-04,75.490373,75.828956,74.509263,74.844952,74.844952,1316333,SYNTHETIC ENGINEERING DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL - NOT VALIDATION EVIDENCE,flat_to_negative_momentum
QF10,2021-01-04,80.072036,80.690702,79.783434,80.400914,80.400914,1455659,SYNTHETIC ENGINEERING DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL - NOT VALIDATION EVIDENCE,flat_to_negative_momentum
QF11,2021-01-04,84.450054,85.320431,84.146816,85.015164,85.015164,1816126,SYNTHETIC ENGINEERING DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL - NOT VALIDATION EVIDENCE,cyclical_momentum
QF12,2021-01-04,88.991830,89.219846,88.569779,88.797297,88.797297,1748366,SYNTHETIC ENGINEERING DATA ONLY - ALL PRICES AND VOLUMES ARE FICTIONAL - NOT VALIDATION EVIDENCE,cyclical_momentum
